method,subset,min,max,mean,std,MSE,R^2,corr_coeff
LLS,train,-5.737228529123694,6.352929141008644,-1.5502750598402185e-15,2.107010218701159,4.439492061711104,0.9519109883793673,0.9756592583373396
LLS,test,-12.880207616604174,29.033673551294573,0.5315889726844562,4.695255377977707,22.328009900308302,0.8127033359997768,0.9028149849463745
Steepest descent,train,-5.737231685943172,6.3529305461538925,-1.3780222754135276e-15,2.1070102187029924,4.4394920617188305,0.9519109883792836,0.9756592583372965
Steepest descent,test,-12.880179687383226,29.033735584868005,0.5315872913549923,4.695255442991528,22.328008723271708,0.812703345873251,0.9028149821416458
