method,subset,min,max,mean,std,MSE,R^2,corr_coeff
LLS,train,-6.351699240877366,10.038578776839394,-5.756113879591923e-15,3.047217379642468,9.285533758795108,0.9159383767782853,0.9570466951921864
LLS,test,-7.579282181820005,44.81054047278883,0.40734684604614546,3.8918619208127376,15.312520663655954,0.8705751569205433,0.934279088922287
Steepest descent,train,-6.35170481972645,10.038576936216998,-5.899657866614165e-15,3.0472173796444317,9.285533758807077,0.915938376778177,0.9570466951921296
Steepest descent,test,-7.579287043712185,44.810508513701485,0.4073465114034719,3.891861118188988,15.312514143623819,0.8705752120293105,0.9342791153263738
