method,subset,min,max,mean,std,MSE,R^2,corr_coeff
LLS,train,-21.214702433015862,17.70003258813731,-1.4009893133370865e-14,7.437774812049055,55.32049415475136,0.4007630041258303,0.6330584523768956
LLS,test,-17.625266398229968,71.04002553738277,9.492538784441201,12.79832566279776,253.90543234514814,-1.1298647153109669,0.25515885165051655
Steepest descent,train,-21.21470490245638,17.700024002812626,-1.4009893133370865e-14,7.437774812049571,55.320494154759025,0.4007630041257473,0.633058452376831
Steepest descent,test,-17.625276486541807,71.03997988035815,9.492537435244381,12.798324231072431,253.90537008317176,-1.1298641930315285,0.2551588973170689
