method,subset,min,max,mean,std,MSE,R^2,corr_coeff
LLS,train,-23.711707866079266,26.98634507298967,-1.0808862222774858e-14,9.24881039231021,85.54049367290534,0.22560480246810277,0.47497873896428533
LLS,test,-151.5445514063863,26.212423472552157,-0.07907773980831947,11.902422392086843,141.6739120885835,-0.19745953284087192,0.3111374039412568
Steepest descent,train,-23.711703699300777,26.9863441913675,-1.075144462796596e-14,9.24881039231085,85.54049367291717,0.22560480246799575,0.47497873896417536
Steepest descent,test,-151.5445272608291,26.212428145156395,-0.0790774252418059,11.90242155286831,141.6738920613669,-0.1974593635663664,0.31113742541320893
