method,subset,mean_error,std_error,MSE,R^2,corr_coeff
KNN-LLS,development,0.08075334626853004,1.4198728892930044,2.0225601246828298,0.9817727862402669,0.990887579827704
KNN-LLS,test,0.19473572453830068,2.2333248925096956,5.025662077914901,0.9579089494116622,0.9789842365065193
Standard LLS,development,-0.05329340086924341,3.127071744260112,9.781417880326188,0.9118503364116604,0.9549219508529538
Standard LLS,test,0.3276444406126059,4.096090929316129,16.88531178069022,0.8585817149377937,0.9276689055936742
