test,AUC_manual,AUC_sklearn,Youden_threshold,Youden_J,sensitivity,specificity,false_positive_rate
Test1,0.9504081815735175,0.9504081815735177,7.71,0.8469184533955324,0.9577464788732394,0.889171974522293,0.11082802547770698
Test2,0.9391944020812775,0.9391944020812775,0.32,0.8544899973086929,0.9436619718309859,0.910828025477707,0.08917197452229297
